exit_time,net_pnl
2025-05-12 09:15:00+05:30,-122.3625
2025-05-20 13:30:00+05:30,-117.76580000000068
2025-05-23 12:15:00+05:30,-237.44939999999954
2025-06-05 13:30:00+05:30,108.74240000000182
2025-06-20 15:00:00+05:30,262.78859999999815
2025-06-30 10:15:00+05:30,33.187299999999546
2025-07-02 13:15:00+05:30,-140871.02612500047
2025-07-03 14:15:00+05:30,-251.4532000000027
2025-07-10 10:15:00+05:30,-486.91840000000184
2025-07-15 09:45:00+05:30,-1781.9687999999965
2025-07-22 11:30:00+05:30,-2685.7951999999927
2025-07-31 09:15:00+05:30,12106.956799999985
2025-08-06 10:15:00+05:30,-5330.422400000015
2025-08-07 12:15:00+05:30,-16040.607999999942
2025-08-21 15:15:00+05:30,-1649.8560000002326
2025-09-10 10:15:00+05:30,-44501.19680000023
2025-09-26 09:30:00+05:30,308384.4299000004
2025-10-07 09:15:00+05:30,-39822.528900000114
2025-10-10 09:30:00+05:30,-120205.89539999956
2025-10-31 09:15:00+05:30,518857.9704000004
2025-11-18 15:15:00+05:30,189476.86119999955
